1000000000000001	8001
1000000100100000	8120
0011101001000001	3A41
0000111000001000	0E08
1000001111000000	83C0
0100010001011111	445F
0000111000010000	0E10
1000010111000000	85C0
1011010000000111	B407
0000111101110111	0F77
1010011100000101	A705
0000111010000000	0E80
1000110111000001	8DC1
0100010010011111	449F
1111011111111011	F7FB
0000111010000000	0E80
1000101111000001	8BC1
0100001001000001	4241
0000111101000111	0F47
1010111100000010	A702
1111011111110001	F7F1
1111000000000000	F000
